Annual Total Population at Mid-Year (thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO 3166-1 numeric code,Location,Note,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
178,         Congo,,   2 188,   2 249,   2 311,   2 375,   2 440,   2 508,   2 577,   2 649,   2 722,   2 799,   2 879,   2 962,   3 048,   3 136,   3 226,   3 316,   3 407,   3 503,   3 605,   3 718,   3 842,   3 976,   4 115,   4 254,   4 387,   4 513,   4 633,   4 751,   4 871,   4 996,   5 126,   5 261,   5 400,   5 542,   5 687
180,         Democratic Republic of the Congo,,   30 686,   31 530,   32 444,   33 465,   34 615,   35 915,   37 346,   38 834,   40 274,   41 596,   42 771,   43 830,   44 841,   45 899,   47 076,   48 394,   49 836,   51 390,   53 034,   54 751,   56 543,   58 418,   60 374,   62 409,   64 523,   66 714,   68 979,   71 316,   73 723,   76 197,   78 736,   81 340,   84 005,   86 728,   89 505
226,         Equatorial Guinea,,    376,    390,    402,    414,    427,    441,    455,    471,    487,    505,    524,    545,    567,    590,    614,    640,    666,    695,    725,    757,    792,    829,    868,    909,    951,    994,   1 039,   1 084,   1 129,   1 175,   1 221,   1 268,   1 314,   1 360,   1 406
266,         Gabon,,    853,    877,    901,    927,    952,    978,   1 005,   1 032,   1 059,   1 086,   1 114,   1 142,   1 171,   1 201,   1 231,   1 262,   1 294,   1 328,   1 364,   1 403,   1 445,   1 489,   1 536,   1 587,   1 640,   1 697,   1 757,   1 817,   1 876,   1 930,   1 980,   2 025,   2 068,   2 109,   2 151
678,         Sao Tome and Principe,,    105,    107,    109,    112,    114,    116,    119,    121,    124,    126,    129,    131,    133,    136,    139,    142,    145,    148,    152,    156,    159,    163,    167,    171,    175,    179,    183,    187,    191,    196,    200,    204,    209,    213,    218
912,      Northern Africa,,   127 323,   130 782,   134 262,   137 751,   141 238,   144 724,   148 196,   151 615,   154 932,   158 115,   161 148,   164 049,   166 871,   169 689,   172 559,   175 509,   178 532,   181 612,   184 718,   187 832,   190 943,   194 076,   197 296,   200 688,   204 310,   208 186,   212 284,   216 536,   220 845,   225 136,   229 386,   233 604,   237 785,   241 933,   246 049
12,         Algeria,,   23 241,   23 918,   24 591,   25 258,   25 912,   26 554,   27 181,   27 786,   28 362,   28 904,   29 411,   29 887,   30 336,   30 766,   31 184,   31 592,   31 995,   32 404,   32 831,   33 288,   33 778,   34 300,   34 861,   35 466,   36 118,   36 820,   37 566,   38 339,   39 113,   39 872,   40 606,   41 318,   42 008,   42 679,   43 333
818,         Egypt,,   51 608,   53 066,   54 547,   56 007,   57 412,   58 752,   60 036,   61 276,   62 496,   63 714,   64 933,   66 151,   67 378,   68 627,   69 906,   71 227,   72 590,   73 982,   75 382,   76 778,   78 159,   79 537,   80 954,   82 465,   84 108,   85 898,   87 813,   89 807,   91 813,   93 778,   95 689,   97 553,   99 376,   101 169,   102 941
434,         Libya,,   3 995,   4 110,   4 220,   4 329,   4 437,   4 544,   4 651,   4 755,   4 855,   4 949,   5 036,   5 117,   5 196,   5 274,   5 356,   5 441,   5 528,   5 616,   5 705,   5 793,   5 881,   5 970,   6 053,   6 121,   6 169,   6 194,   6 198,   6 196,   6 204,   6 235,   6 293,   6 375,   6 471,   6 570,   6 662
504,         Morocco,,   23 024,   23 498,   23 962,   24 421,   24 879,   25 337,   25 791,   26 237,   26 667,   27 075,   27 461,   27 826,   28 175,   28 515,   28 850,   29 182,   29 512,   29 844,   30 179,   30 521,   30 869,   31 226,   31 597,   31 990,   32 410,   32 859,   33 334,   33 825,   34 318,   34 803,   35 277,   35 740,   36 192,   36 635,   37 071
729,         Sudan,,   17 757,   18 303,   18 866,   19 476,   20 148,   20 894,   21 701,   22 536,   23 348,   24 103,   24 786,   25 410,   26 004,   26 607,   27 251,   27 945,   28 680,   29 436,   30 186,   30 912,   31 607,   32 283,   32 955,   33 651,   34 386,   35 167,   35 990,   36 850,   37 738,   38 648,   39 579,   40 533,   41 512,   42 514,   43 541
788,         Tunisia,,   7 510,   7 692,   7 871,   8 051,   8 233,   8 418,   8 603,   8 785,   8 957,   9 114,   9 256,   9 384,   9 499,   9 604,   9 699,   9 786,   9 864,   9 940,   10 018,   10 102,   10 196,   10 298,   10 407,   10 522,   10 640,   10 761,   10 887,   11 015,   11 144,   11 274,   11 403,   11 532,   11 659,   11 783,   11 903
732,         Western Sahara,,    189,    195,    203,    210,    217,    224,    232,    239,    247,    256,    264,    273,    283,    297,    314,    337,    363,    391,    417,    438,    452,    462,    469,    474,    480,    488,    496,    505,    515,    526,    539,    553,    567,    582,    597
913,      Southern Africa,,   39 145,   40 033,   40 926,   41 849,   42 818,   43 840,   44 903,   45 979,   47 032,   48 035,   48 978,   49 868,   50 710,   51 513,   52 286,   53 032,   53 752,   54 445,   55 115,   55 764,   56 391,   57 002,   57 624,   58 288,   59 016,   59 820,   60 690,   61 601,   62 520,   63 420,   64 292,   65 143,   65 974,   66 790,   67 595
72,         Botswana,,   1 227,   1 264,   1 302,   1 340,   1 378,   1 417,   1 456,   1 495,   1 533,   1 569,   1 604,   1 638,   1 670,   1 700,   1 728,   1 755,   1 780,   1 804,   1 829,   1 856,   1 884,   1 914,   1 946,   1 980,   2 015,   2 051,   2 089,   2 129,   2 169,   2 209,   2 250,   2 292,   2 333,   2 375,   2 416
426,         Lesotho,,   1 500,   1 525,   1 550,   1 576,   1 604,   1 635,   1 667,   1 700,   1 732,   1 761,   1 787,   1 810,   1 831,   1 851,   1 869,   1 886,   1 902,   1 918,   1 934,   1 950,   1 966,   1 982,   2 000,   2 019,   2 041,   2 064,   2 090,   2 117,   2 146,   2 175,   2 204,   2 233,   2 263,   2 293,   2 322
516,         Namibia,,   1 194,   1 246,   1 303,   1 360,   1 415,   1 466,   1 514,   1 560,   1 607,   1 655,   1 706,   1 759,   1 811,   1 858,   1 899,   1 934,   1 962,   1 987,   2 009,   2 032,   2 056,   2 080,   2 106,   2 137,   2 173,   2 216,   2 264,   2 317,   2 371,   2 426,   2 480,   2 534,   2 588,   2 642,   2 697
710,         South Africa,,   34 490,   35 230,   35 971,   36 741,   37 561,   38 438,   39 360,   40 300,   41 219,   42 088,   42 899,   43 657,   44 372,   45 059,   45 728,   46 385,   47 026,   47 649,   48 247,   48 821,   49 365,   49 887,   50 412,   50 971,   51 585,   52 264,   52 998,   53 767,   54 540,   55 291,   56 015,   56 717,   57 398,   58 065,   58 721
748,         Swaziland,,    734,    767,    800,    833,    861,    886,    906,    924,    942,    961,    982,   1 004,   1 026,   1 046,   1 061,   1 073,   1 081,   1 087,   1 095,   1 106,   1 121,   1 138,   1 159,   1 181,   1 203,   1 225,   1 248,   1 271,   1 295,   1 319,   1 343,   1 367,   1 391,   1 415,   1 439
914,      Western Africa,,   162 178,   166 594,   171 109,   175 749,   180 533,   185 472,   190 559,   195 782,   201 118,   206 555,   212 093,   217 745,   223 521,   229 438,   235 508,   241 737,   248 132,   254 721,   261 538,   268 608,   275 942,   283 538,   291 388,   299 473,   307 781,   316 312,   325 068,   334 043,   343 227,   352 614,   362 202,   371 990,   381 981,   392 176,   402 579
204,         Benin,,   4 405,   4 535,   4 673,   4 820,   4 978,   5 149,   5 332,   5 522,   5 714,   5 906,   6 094,   6 282,   6 470,   6 664,   6 866,   7 077,   7 295,   7 521,   7 750,   7 982,   8 217,   8 455,   8 697,   8 945,   9 199,   9 461,   9 729,   10 004,   10 287,   10 576,   10 872,   11 176,   11 486,   11 802,   12 123
854,         Burkina Faso,,   7 931,   8 140,   8 356,   8 580,   8 811,   9 050,   9 297,   9 552,   9 817,   10 090,   10 373,   10 666,   10 969,   11 283,   11 608,   11 945,   12 293,   12 655,   13 031,   13 422,   13 829,   14 252,   14 690,   15 141,   15 605,   16 082,   16 571,   17 073,   17 586,   18 111,   18 646,   19 193,   19 752,   20 322,   20 903
132,         Cabo Verde,,    320,    325,    330,    335,    342,    350,    359,    369,    379,    389,    399,    408,    417,    426,    435,    444,    452,    460,    468,    475,    481,    486,    492,    497,    502,    508,    514,    520,    526,    533,    540,    546,    553,    560,    567
384,         Côte d'Ivoire,,   10 620,   11 020,   11 424,   11 839,   12 268,   12 710,   13 163,   13 623,   14 084,   14 541,   14 995,   15 446,   15 885,   16 300,   16 687,   17 040,   17 367,   17 679,   17 998,   18 336,   18 699,   19 086,   19 498,   19 936,   20 401,   20 895,   21 419,   21 966,   22 531,   23 108,   23 696,   24 295,   24 906,   25 531,   26 172
270,         Gambia,,    767,    804,    843,    881,    917,    949,    980,   1 008,   1 037,   1 066,   1 097,   1 128,   1 161,   1 195,   1 232,   1 270,   1 311,   1 354,   1 399,   1 444,   1 491,   1 539,   1 589,   1 640,   1 692,   1 746,   1 802,   1 859,   1 918,   1 978,   2 039,   2 101,   2 164,   2 228,   2 293
288,         Ghana,,   13 104,   13 481,   13 854,   14 234,   14 628,   15 040,   15 464,   15 896,   16 330,   16 760,   17 186,   17 609,   18 036,   18 478,   18 939,   19 422,   19 925,   20 447,   20 987,   21 542,   22 113,   22 700,   23 299,   23 904,   24 512,   25 122,   25 733,   26 346,   26 963,   27 583,   28 207,   28 834,   29 464,   30 097,   30 734
324,         Guinea,,   5 230,   5 381,   5 555,   5 771,   6 041,   6 374,   6 759,   7 163,   7 544,   7 871,   8 133,   8 338,   8 503,   8 654,   8 809,   8 971,   9 137,   9 310,   9 490,   9 680,   9 881,   10 097,   10 323,   10 557,   10 794,   11 035,   11 281,   11 537,   11 806,   12 092,   12 396,   12 717,   13 053,   13 398,   13 751
624,         Guinea-Bissau,,    922,    944,    966,    989,   1 012,   1 037,   1 063,   1 089,   1 114,   1 137,   1 159,   1 180,   1 200,   1 221,   1 243,   1 268,   1 294,   1 321,   1 350,   1 381,   1 413,   1 446,   1 481,   1 517,   1 556,   1 596,   1 638,   1 681,   1 726,   1 771,   1 816,   1 861,   1 907,   1 954,   2 001
430,         Liberia,,   2 202,   2 191,   2 165,   2 132,   2 097,   2 060,   2 023,   2 000,   2 013,   2 073,   2 191,   2 358,   2 551,   2 735,   2 885,   2 991,   3 063,   3 116,   3 176,   3 261,   3 376,   3 513,   3 663,   3 812,   3 948,   4 070,   4 182,   4 286,   4 391,   4 500,   4 614,   4 732,   4 854,   4 978,   5 104
466,         Mali,,   7 955,   8 068,   8 181,   8 310,   8 465,   8 653,   8 868,   9 105,   9 353,   9 604,   9 857,   10 114,   10 381,   10 664,   10 968,   11 293,   11 639,   12 005,   12 392,   12 799,   13 227,   13 676,   14 138,   14 607,   15 075,   15 541,   16 007,   16 478,   16 963,   17 468,   17 995,   18 542,   19 108,   19 689,   20 284
478,         Mauritania,,   1 820,   1 871,   1 923,   1 976,   2 030,   2 085,   2 141,   2 200,   2 261,   2 327,   2 397,   2 472,   2 549,   2 629,   2 709,   2 791,   2 873,   2 957,   3 043,   3 131,   3 221,   3 313,   3 408,   3 506,   3 610,   3 718,   3 830,   3 946,   4 064,   4 182,   4 301,   4 420,   4 540,   4 661,   4 784
562,         Niger,,   7 117,   7 324,   7 540,   7 769,   8 013,   8 273,   8 549,   8 842,   9 152,   9 477,   9 820,   10 180,   10 557,   10 948,   11 353,   11 772,   12 206,   12 657,   13 127,   13 618,   14 132,   14 668,   15 229,   15 814,   16 426,   17 065,   17 732,   18 426,   19 148,   19 897,   20 673,   21 477,   22 311,   23 177,   24 075
566,         Nigeria,,   85 819,   88 102,   90 450,   92 844,   95 270,   97 726,   100 222,   102 762,   105 356,   108 011,   110 733,   113 523,   116 386,   119 327,   122 352,   125 463,   128 667,   131 973,   135 394,   138 939,   142 614,   146 417,   150 347,   154 402,   158 578,   162 877,   167 297,   171 829,   176 461,   181 182,   185 990,   190 886,   195 875,   200 962,   206 153
654,         Saint Helena,3,    6,    6,    6,    6,    6,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    4,    4,    4,    4,    4,    4,    4,    4,    4,    4,    4,    4,    4,    4,    4,    4,    4
686,         Senegal,,   6 686,   6 894,   7 108,   7 329,   7 556,   7 790,   8 030,   8 272,   8 512,   8 747,   8 974,   9 197,   9 418,   9 646,   9 884,   10 134,   10 397,   10 671,   10 956,   11 251,   11 557,   11 874,   12 204,   12 551,   12 916,   13 301,   13 704,   14 120,   14 546,   14 977,   15 412,   15 851,   16 294,   16 744,   17 200
694,         Sierra Leone,,   3 912,   4 035,   4 153,   4 249,   4 312,   4 337,   4 331,   4 307,   4 284,   4 275,   4 282,   4 305,   4 354,   4 438,   4 564,   4 739,   4 957,   5 200,   5 440,   5 658,   5 849,   6 015,   6 165,   6 310,   6 459,   6 612,   6 766,   6 922,   7 079,   7 237,   7 396,   7 557,   7 720,   7 883,   8 047
768,         Togo,,   3 364,   3 474,   3 582,   3 686,   3 787,   3 882,   3 973,   4 065,   4 164,   4 274,   4 398,   4 535,   4 679,   4 826,   4 970,   5 112,   5 251,   5 391,   5 535,   5 683,   5 838,   5 997,   6 162,   6 330,   6 503,   6 679,   6 859,   7 043,   7 229,   7 417,   7 606,   7 798,   7 991,   8 186,   8 384
